"spreadsheet"
"X","Y","Z","Value"
3567.49,2764.3901,115.35986,0.83249646
3767.49,2764.3901,115.35986,0.90020353
167.48999,2964.3901,115.35986,0.88593704
367.48999,2964.3901,115.35986,0.8883943
567.48999,2964.3901,115.35986,0.74101549
767.48999,2964.3901,115.35986,0.59658659
967.48999,2964.3901,115.35986,0.30488527
1167.49,2964.3901,115.35986,0.39061728
1367.49,2964.3901,115.35986,0.19165009
1567.49,2964.3901,115.35986,0.19556704
1767.49,2964.3901,115.35986,0.13776757
1967.49,2964.3901,115.35986,0.38706437
2167.49,2964.3901,115.35986,0.17399074
2367.49,2964.3901,115.35986,0.15389447
2567.49,2964.3901,115.35986,0.21144103
2767.49,2964.3901,115.35986,0.71348804
2967.49,2964.3901,115.35986,0.95233572
3167.49,2964.3901,115.35986,0.8714208
3367.49,2964.3901,115.35986,0.85426348
3567.49,2964.3901,115.35986,0.88574678
3767.49,2964.3901,115.35986,0.91455024
167.48999,3164.3901,115.35986,0.90443927
367.48999,3164.3901,115.35986,0.8855238
567.48999,3164.3901,115.35986,0.86940289
767.48999,3164.3901,115.35986,0.75481862
967.48999,3164.3901,115.35986,0.65782869
1167.49,3164.3901,115.35986,0.41071734
1367.49,3164.3901,115.35986,0.31448638
1567.49,3164.3901,115.35986,0.27340075
1767.49,3164.3901,115.35986,0.20434943
1967.49,3164.3901,115.35986,0.38875261
2167.49,3164.3901,115.35986,0.31801853
2367.49,3164.3901,115.35986,0.38480139
2567.49,3164.3901,115.35986,0.44195244
2767.49,3164.3901,115.35986,0.7306816
2967.49,3164.3901,115.35986,0.9168312
3167.49,3164.3901,115.35986,0.95170128
3367.49,3164.3901,115.35986,0.91649085
3567.49,3164.3901,115.35986,0.91980201
3767.49,3164.3901,115.35986,0.93863147
167.48999,3364.3901,115.35986,0.91412479
367.48999,3364.3901,115.35986,0.90436661
567.48999,3364.3901,115.35986,0.90300328
767.48999,3364.3901,115.35986,0.89691025
967.48999,3364.3901,115.35986,0.88185084
1167.49,3364.3901,115.35986,0.84298986
1367.49,3364.3901,115.35986,0.52720934
1567.49,3364.3901,115.35986,0.33232978
1767.49,3364.3901,115.35986,0.29037023
1967.49,3364.3901,115.35986,0.45764172
2167.49,3364.3901,115.35986,0.49507314
2367.49,3364.3901,115.35986,0.6434896
2567.49,3364.3901,115.35986,0.83970439
2767.49,3364.3901,115.35986,0.86138725
2967.49,3364.3901,115.35986,0.92966425
3167.49,3364.3901,115.35986,0.95334923
3367.49,3364.3901,115.35986,0.94037789
3567.49,3364.3901,115.35986,0.93075025
3767.49,3364.3901,115.35986,0.92154074
167.48999,3564.3901,115.35986,0.92062676
367.48999,3564.3901,115.35986,0.90222061
567.48999,3564.3901,115.35986,0.92644
767.48999,3564.3901,115.35986,0.90071875
967.48999,3564.3901,115.35986,0.90448481
1167.49,3564.3901,115.35986,0.87937707
1367.49,3564.3901,115.35986,0.79831457
1567.49,3564.3901,115.35986,0.73051554
1767.49,3564.3901,115.35986,0.65758079
1967.49,3564.3901,115.35986,0.56226897
2167.49,3564.3901,115.35986,0.65234941
2367.49,3564.3901,115.35986,0.80425066
2567.49,3564.3901,115.35986,0.86247605
2767.49,3564.3901,115.35986,0.95097268
2967.49,3564.3901,115.35986,0.92601585
3167.49,3564.3901,115.35986,0.88470829
3367.49,3564.3901,115.35986,0.91368842
3567.49,3564.3901,115.35986,0.92996174
3767.49,3564.3901,115.35986,0.92185354
167.48999,3764.3901,115.35986,0.92227471
367.48999,3764.3901,115.35986,0.91209334
567.48999,3764.3901,115.35986,0.92296243
767.48999,3764.3901,115.35986,0.93969238
967.48999,3764.3901,115.35986,0.90448242
1167.49,3764.3901,115.35986,0.89507395
1367.49,3764.3901,115.35986,0.89566195
1567.49,3764.3901,115.35986,0.88498145
1767.49,3764.3901,115.35986,0.78775364
1967.49,3764.3901,115.35986,0.82856518
2167.49,3764.3901,115.35986,0.82393247
2367.49,3764.3901,115.35986,0.87060916
2567.49,3764.3901,115.35986,0.92777616
2767.49,3764.3901,115.35986,0.97186863
2967.49,3764.3901,115.35986,0.95638174
3167.49,3764.3901,115.35986,0.86779487
3367.49,3764.3901,115.35986,0.88416249
3567.49,3764.3901,115.35986,0.88554555
3767.49,3764.3901,115.35986,0.91427892
167.48999,3964.3901,115.35986,0.92760897
367.48999,3964.3901,115.35986,0.89703792
567.48999,3964.3901,115.35986,0.93002224
767.48999,3964.3901,115.35986,0.93839312
967.48999,3964.3901,115.35986,0.92756534
1167.49,3964.3901,115.35986,0.92477012
1367.49,3964.3901,115.35986,0.92922992
1567.49,3964.3901,115.35986,0.90811658
1767.49,3964.3901,115.35986,0.87062323
1967.49,3964.3901,115.35986,0.83847833
2167.49,3964.3901,115.35986,0.91140395
2367.49,3964.3901,115.35986,0.93404543
2567.49,3964.3901,115.35986,0.92866564
2767.49,3964.3901,115.35986,0.93834358
2967.49,3964.3901,115.35986,0.95757818
3167.49,3964.3901,115.35986,0.90787655
3367.49,3964.3901,115.35986,0.90730339
3567.49,3964.3901,115.35986,0.92820066
3767.49,3964.3901,115.35986,0.87748057
167.48999,4164.3901,115.35986,nan
367.48999,4164.3901,115.35986,0.90293211
567.48999,4164.3901,115.35986,0.94607776
767.48999,4164.3901,115.35986,0.93812692
967.48999,4164.3901,115.35986,0.90110385
1167.49,4164.3901,115.35986,0.88471895
1367.49,4164.3901,115.35986,0.91483587
1567.49,4164.3901,115.35986,0.91237104
1767.49,4164.3901,115.35986,0.91867888
1967.49,4164.3901,115.35986,0.88241172
2167.49,4164.3901,115.35986,0.86671704
2367.49,4164.3901,115.35986,0.9051463
2567.49,4164.3901,115.35986,0.90030032
2767.49,4164.3901,115.35986,0.90847456
2967.49,4164.3901,115.35986,0.93876469
3167.49,4164.3901,115.35986,0.9541285
3367.49,4164.3901,115.35986,0.91730189
3567.49,4164.3901,115.35986,0.90557373
3767.49,4164.3901,115.35986,0.86624002
167.48999,4364.3901,115.35986,nan
367.48999,4364.3901,115.35986,nan
567.48999,4364.3901,115.35986,nan
767.48999,4364.3901,115.35986,nan
967.48999,4364.3901,115.35986,nan
1167.49,4364.3901,115.35986,nan
1367.49,4364.3901,115.35986,0.60912138
1567.49,4364.3901,115.35986,0.89579892
1767.49,4364.3901,115.35986,0.80321443
1967.49,4364.3901,115.35986,0.9183504
2167.49,4364.3901,115.35986,0.9267813
2367.49,4364.3901,115.35986,0.9292649
2567.49,4364.3901,115.35986,0.93605888
2767.49,4364.3901,115.35986,0.90356904
2967.49,4364.3901,115.35986,0.97062975
3167.49,4364.3901,115.35986,0.95964664
3367.49,4364.3901,115.35986,0.89201087
3567.49,4364.3901,115.35986,0.88542813
3767.49,4364.3901,115.35986,nan
167.48999,4564.3901,115.35986,nan
367.48999,4564.3901,115.35986,nan
567.48999,4564.3901,115.35986,nan
767.48999,4564.3901,115.35986,nan
967.48999,4564.3901,115.35986,nan
1167.49,4564.3901,115.35986,nan
1367.49,4564.3901,115.35986,nan
1567.49,4564.3901,115.35986,nan
1767.49,4564.3901,115.35986,nan
1967.49,4564.3901,115.35986,nan
2167.49,4564.3901,115.35986,nan
2367.49,4564.3901,115.35986,nan
2567.49,4564.3901,115.35986,nan
2767.49,4564.3901,115.35986,nan
2967.49,4564.3901,115.35986,nan
3167.49,4564.3901,115.35986,nan
3367.49,4564.3901,115.35986,nan
3567.49,4564.3901,115.35986,nan
3767.49,4564.3901,115.35986,nan
167.48999,164.39014,315.35986,nan
367.48999,164.39014,315.35986,nan
567.48999,164.39014,315.35986,nan
767.48999,164.39014,315.35986,nan
967.48999,164.39014,315.35986,nan
1167.49,164.39014,315.35986,nan
1367.49,164.39014,315.35986,nan
1567.49,164.39014,315.35986,nan
1767.49,164.39014,315.35986,nan
1967.49,164.39014,315.35986,nan
2167.49,164.39014,315.35986,nan
2367.49,164.39014,315.35986,nan
2567.49,164.39014,315.35986,nan
2767.49,164.39014,315.35986,nan
2967.49,164.39014,315.35986,nan
3167.49,164.39014,315.35986,nan
3367.49,164.39014,315.35986,nan
3567.49,164.39014,315.35986,nan
3767.49,164.39014,315.35986,nan
167.48999,364.39014,315.35986,nan
367.48999,364.39014,315.35986,nan
567.48999,364.39014,315.35986,nan
767.48999,364.39014,315.35986,nan
967.48999,364.39014,315.35986,nan
1167.49,364.39014,315.35986,nan
1367.49,364.39014,315.35986,nan
1567.49,364.39014,315.35986,nan
1767.49,364.39014,315.35986,nan
1967.49,364.39014,315.35986,0.9550451
2167.49,364.39014,315.35986,0.97340661
2367.49,364.39014,315.35986,0.9837749
2567.49,364.39014,315.35986,0.98245275
2767.49,364.39014,315.35986,0.99274552
2967.49,364.39014,315.35986,0.99634224
3167.49,364.39014,315.35986,0.99140352
3367.49,364.39014,315.35986,0.98289341
3567.49,364.39014,315.35986,0.98176998
3767.49,364.39014,315.35986,0.94584143
167.48999,564.39014,315.35986,nan
367.48999,564.39014,315.35986,nan
567.48999,564.39014,315.35986,0.96818852
767.48999,564.39014,315.35986,0.97569942
967.48999,564.39014,315.35986,0.95285207
1167.49,564.39014,315.35986,0.97667563
1367.49,564.39014,315.35986,0.9770509
1567.49,564.39014,315.35986,0.94633114
1767.49,564.39014,315.35986,0.92635489
1967.49,564.39014,315.35986,0.8432672
2167.49,564.39014,315.35986,0.83973396
2367.49,564.39014,315.35986,0.20407428
2567.49,564.39014,315.35986,0.30898133
2767.49,564.39014,315.35986,0.98247474
2967.49,564.39014,315.35986,0.97738206
3167.49,564.39014,315.35986,0.97535461
3367.49,564.39014,315.35986,0.18325052
3567.49,564.39014,315.35986,0.10036001
3767.49,564.39014,315.35986,0.95509601
167.48999,764.39014,315.35986,0.9717319
367.48999,764.39014,315.35986,0.97470599
567.48999,764.39014,315.35986,0.9463371
767.48999,764.39014,315.35986,0.84046054
967.48999,764.39014,315.35986,0.30821061
1167.49,764.39014,315.35986,0.31705686
1367.49,764.39014,315.35986,0.35659385
1567.49,764.39014,315.35986,0.16877134
1767.49,764.39014,315.35986,0.24313465
1967.49,764.39014,315.35986,0.072234638
2167.49,764.39014,315.35986,0.18047804
2367.49,764.39014,315.35986,0.15361823
2567.49,764.39014,315.35986,0.46711969
2767.49,764.39014,315.35986,0.98202103
2967.49,764.39014,315.35986,0.97724009
3167.49,764.39014,315.35986,0.55155969
3367.49,764.39014,315.35986,0.24325404
3567.49,764.39014,315.35986,0.050192341
3767.49,764.39014,315.35986,0.94203484
167.48999,964.39014,315.35986,0.89831233
367.48999,964.39014,315.35986,0.29721329
567.48999,964.39014,315.35986,0.11090717
767.48999,964.39014,315.35986,0.32331637
967.48999,964.39014,315.35986,0.32696095
1167.49,964.39014,315.35986,0.29759046
1367.49,964.39014,315.35986,0.42263377
1567.49,964.39014,315.35986,0.24569263
1767.49,964.39014,315.35986,0.41446871
1967.49,964.39014,315.35986,0.053177532
2167.49,964.39014,315.35986,0.16376299
2367.49,964.39014,315.35986,0.2161909
2567.49,964.39014,315.35986,0.44335258
2767.49,964.39014,315.35986,0.98195809
2967.49,964.39014,315.35986,0.98104107
3167.49,964.39014,315.35986,0.23078381
3367.49,964.39014,315.35986,0.21241786
3567.49,964.39014,315.35986,0.079437666
3767.49,964.39014,315.35986,0.96644634
167.48999,1164.3901,315.35986,0.78158861
367.48999,1164.3901,315.35986,0.37336665
567.48999,1164.3901,315.35986,0.061106704
767.48999,1164.3901,315.35986,0.27407497
967.48999,1164.3901,315.35986,0.4653092
1167.49,1164.3901,315.35986,0.27796966
1367.49,1164.3901,315.35986,0.41964456
1567.49,1164.3901,315.35986,0.32867572
1767.49,1164.3901,315.35986,0.3576045
1967.49,1164.3901,315.35986,0.12842247
2167.49,1164.3901,315.35986,0.13522741
2367.49,1164.3901,315.35986,0.18709572
2567.49,1164.3901,315.35986,0.25144678
2767.49,1164.3901,315.35986,0.9730643
2967.49,1164.3901,315.35986,0.98048419
3167.49,1164.3901,315.35986,0.28290468
3367.49,1164.3901,315.35986,0.23444644
3567.49,1164.3901,315.35986,0.15448695
3767.49,1164.3901,315.35986,0.95846641
167.48999,1364.3901,315.35986,0.77914029
367.48999,1364.3901,315.35986,0.44636369
567.48999,1364.3901,315.35986,0.065725461
767.48999,1364.3901,315.35986,0.14626914
967.48999,1364.3901,315.35986,0.413513
1167.49,1364.3901,315.35986,0.21551357
1367.49,1364.3901,315.35986,0.28659877
1567.49,1364.3901,315.35986,0.43611795
1767.49,1364.3901,315.35986,0.28897682
1967.49,1364.3901,315.35986,0.06559962
2167.49,1364.3901,315.35986,0.1585353
2367.49,1364.3901,315.35986,0.22026378
2567.49,1364.3901,315.35986,0.20004767
2767.49,1364.3901,315.35986,0.93355799
2967.49,1364.3901,315.35986,0.97484469
3167.49,1364.3901,315.35986,0.24233513
3367.49,1364.3901,315.35986,0.16067283
3567.49,1364.3901,315.35986,0.092085972
3767.49,1364.3901,315.35986,0.95756584
167.48999,1564.3901,315.35986,0.8571226
367.48999,1564.3901,315.35986,0.45495343
567.48999,1564.3901,315.35986,0.11776119
767.48999,1564.3901,315.35986,0.15608785
967.48999,1564.3901,315.35986,0.30295166
1167.49,1564.3901,315.35986,0.23775782
1367.49,1564.3901,315.35986,0.10112138
1567.49,1564.3901,315.35986,0.31159571
1767.49,1564.3901,315.35986,0.22604901
1967.49,1564.3901,315.35986,0.10248391
2167.49,1564.3901,315.35986,0.080190502
2367.49,1564.3901,315.35986,0.23865484
2567.49,1564.3901,315.35986,0.37324664
2767.49,1564.3901,315.35986,0.9582994
2967.49,1564.3901,315.35986,0.96527755
3167.49,1564.3901,315.35986,0.32402942
3367.49,1564.3901,315.35986,0.17117316
3567.49,1564.3901,315.35986,0.11925886
3767.49,1564.3901,315.35986,0.95843059
167.48999,1764.3901,315.35986,0.85082203
367.48999,1764.3901,315.35986,0.35416538
567.48999,1764.3901,315.35986,0.08977697
